path;file_count;size_bytes;size_human;tracked_file_count;untracked_file_count;dominant_category;category_distribution
.;8376;672545318;641.39 Mo;30;8346;generated_crops;generated_crops:7803 | reports:375 | raw_data:100 | data_other:53 | scripts:24 | project_root_or_other:7 | catalog_backups:5 | catalog:4 | manifests:2 | batch_data:1 | validated:1 | source:1
data;8344;672094251;640.96 Mo;6;8338;generated_crops;generated_crops:7803 | reports:375 | raw_data:100 | data_other:53 | catalog_backups:5 | catalog:4 | manifests:2 | batch_data:1 | validated:1
scripts;24;336539;328.65 Ko;19;5;scripts;scripts:24
src;1;0;0 o;1;0;source;source:1
data/batches;7447;573675201;547.10 Mo;0;7447;generated_crops;generated_crops:7003 | reports:342 | raw_data:100 | batch_data:1 | validated:1
data/catalog;9;389331;380.21 Ko;4;5;catalog_backups;catalog_backups:5 | catalog:4
data/crops;800;45457298;43.35 Mo;0;800;generated_crops;generated_crops:800
data/curation;1;5204;5.08 Ko;0;1;data_other;data_other:1
data/manifests;2;41811;40.83 Ko;2;0;manifests;manifests:2
data/reports;33;20748945;19.79 Mo;0;33;reports;reports:33
data/sample;20;4222628;4.03 Mo;0;20;data_other;data_other:20
data/samples;32;27553833;26.28 Mo;0;32;data_other;data_other:32
src/hero_wars_vision;1;0;0 o;1;0;source;source:1
data/batches/hero_batch_001;7447;573675201;547.10 Mo;0;7447;generated_crops;generated_crops:7003 | reports:342 | raw_data:100 | batch_data:1 | validated:1
data/catalog/backups;5;313314;305.97 Ko;0;5;catalog_backups;catalog_backups:5
data/crops/hero;800;45457298;43.35 Mo;0;800;generated_crops;generated_crops:800
data/reports/avatar_clusters;5;604397;590.23 Ko;0;5;reports;reports:5
data/reports/hero_crop_debug;20;10348141;9.87 Mo;0;20;reports;reports:20
data/samples/hero;20;17805007;16.98 Mo;0;20;data_other;data_other:20
data/samples/titan;12;9748826;9.30 Mo;0;12;data_other;data_other:12
data/batches/hero_batch_001/crops;4001;227911493;217.35 Mo;0;4001;generated_crops;generated_crops:4001
data/batches/hero_batch_001/crops_dynamic_v1;3002;121086844;115.48 Mo;0;3002;generated_crops;generated_crops:3002
data/batches/hero_batch_001/raw;100;125700162;119.88 Mo;0;100;raw_data;raw_data:100
data/batches/hero_batch_001/reports;342;98738225;94.16 Mo;0;342;reports;reports:342
data/batches/hero_batch_001/validated;1;211717;206.75 Ko;0;1;validated;validated:1
data/catalog/backups/hero_batch_001_20260729_092738;5;313314;305.97 Ko;0;5;catalog_backups;catalog_backups:5
data/crops/hero/avatars_full;200;10258425;9.78 Mo;0;200;generated_crops;generated_crops:200
data/crops/hero/avatars_inner;200;7462585;7.12 Mo;0;200;generated_crops;generated_crops:200
data/crops/hero/names;200;2677348;2.55 Mo;0;200;generated_crops;generated_crops:200
data/crops/hero/rows;200;25058940;23.90 Mo;0;200;generated_crops;generated_crops:200
data/batches/hero_batch_001/crops/avatars_full;1000;49310803;47.03 Mo;0;1000;generated_crops;generated_crops:1000
data/batches/hero_batch_001/crops/avatars_inner;1000;35571745;33.92 Mo;0;1000;generated_crops;generated_crops:1000
data/batches/hero_batch_001/crops/names;1000;13887855;13.24 Mo;0;1000;generated_crops;generated_crops:1000
data/batches/hero_batch_001/crops/rows;1000;128651176;122.69 Mo;0;1000;generated_crops;generated_crops:1000
data/batches/hero_batch_001/crops_dynamic_v1/avatars_full;1000;59824292;57.05 Mo;0;1000;generated_crops;generated_crops:1000
data/batches/hero_batch_001/crops_dynamic_v1/avatars_inner;1000;43296998;41.29 Mo;0;1000;generated_crops;generated_crops:1000
data/batches/hero_batch_001/crops_dynamic_v1/fallback_debug;1;812635;793.59 Ko;0;1;generated_crops;generated_crops:1
data/batches/hero_batch_001/crops_dynamic_v1/names;1000;16724582;15.95 Mo;0;1000;generated_crops;generated_crops:1000
data/batches/hero_batch_001/reports/anchored_clusters;3;1498321;1.43 Mo;0;3;reports;reports:3
data/batches/hero_batch_001/reports/catalog_update_applied;1;1061;1.04 Ko;0;1;reports;reports:1
data/batches/hero_batch_001/reports/catalog_update_preview;7;573329;559.89 Ko;0;7;reports;reports:7
data/batches/hero_batch_001/reports/crop_layout_check;104;29864637;28.48 Mo;0;104;reports;reports:104
data/batches/hero_batch_001/reports/crop_layout_check_v2;104;29945510;28.56 Mo;0;104;reports;reports:104
data/batches/hero_batch_001/reports/frame_detection_v1;105;30293815;28.89 Mo;0;105;reports;reports:105
data/batches/hero_batch_001/reports/ocr_dynamic_v1;2;803432;784.60 Ko;0;2;reports;reports:2
data/batches/hero_batch_001/reports/reconciliation_groups_v1;3;238031;232.45 Ko;0;3;reports;reports:3
data/batches/hero_batch_001/reports/reconciliation_v1;3;584056;570.37 Ko;0;3;reports;reports:3
data/batches/hero_batch_001/reports/visual_matching;3;937711;915.73 Ko;0;3;reports;reports:3
data/batches/hero_batch_001/reports/visual_matching_dynamic_v1;3;557189;544.13 Ko;0;3;reports;reports:3
data/batches/hero_batch_001/reports/crop_layout_check/debug;100;25980694;24.78 Mo;0;100;reports;reports:100
data/batches/hero_batch_001/reports/crop_layout_check_v2/debug;100;25885898;24.69 Mo;0;100;reports;reports:100
data/batches/hero_batch_001/reports/frame_detection_v1/debug;100;26397721;25.17 Mo;0;100;reports;reports:100
