path;tracked;size_bytes;size_human;has_main_function;function_count;class_count;imports;path_literals;syntax_error
audit_project_structure.py;0;31774;31.03 Ko;1;19;0;__future__ | ast | collections | csv | datetime | hashlib | json | os | pathlib | subprocess | sys | zipfile;.csv | .github/ | .html | .jpg | .json | .png | .txt | .zip | / | /  [ | / [ | /crops | /raw | /raw/ | /reports/ | /validated/ | \ | cleanup_candidates.csv | data/ | data/batches/ | data/batches/hero_batch_001/crops | data/batches/hero_batch_001/crops_dynamic_v1/fallback_debug | data/batches/hero_batch_001/reports/anchored_clusters | data/batches/hero_batch_001/reports/catalog_update_preview | data/batches/hero_batch_001/reports/frame_detection_v1 | data/batches/hero_batch_001/reports/visual_matching | data/catalog/ | data/catalog/backups | data/catalog/backups/ | data/crops/ | data/crops/hero | data/manifests/ | data/reports | data/reports/ | directories.csv | docs/ | duplicate_files.csv | files.csv | git_status.txt | project_audit_report.zip | report.json | scripts.csv | scripts/ | src/ | summary.txt | tests/ | tree_compact.txt | tree_full.txt;
scripts/apply_hero_batch_001_review.py;0;37983;37.09 Ko;1;13;0;__future__ | argparse | collections | csv | datetime | os | pathlib | re | shutil | sys | tempfile | typing | unicodedata;/ | HW_HERO_(\d+) | catalog_update_summary.txt | crop_manifest.csv | data/batches/hero_batch_001 | data/catalog/backups | data/catalog/hero_appearances.csv | data/catalog/hero_avatar_manifest.csv | data/catalog/hero_name_aliases.csv | data/catalog/heroes.csv | data/curation/hero_batch_001_review_decisions.csv | hero_appearances.proposed.csv | hero_avatar_manifest.proposed.csv | hero_identity_manifest.csv | hero_identity_manifest.proposed.csv | hero_name_aliases.proposed.csv | heroes.proposed.csv | python scripts/apply_hero_batch_001_review.py --apply | reconciliation_results.csv | reconciliation_results.proposed.csv | review_group_members.csv | review_groups.csv;
scripts/build_cluster_manifest.py;1;9789;9.56 Ko;1;4;0;__future__ | cluster_hero_avatars | collections | csv | pathlib | re | sys | torch | unicodedata;data/manifests | hero_avatar_manifest.csv | hero_visual_clusters.csv;
scripts/check_batch_crop_layout.py;1;8981;8.77 Ko;1;4;0;PIL | __future__ | crop_hero_samples | math | pathlib | sys;.jpg | .png | / | __crop_debug.jpg | data/batches/hero_batch_001/raw | data/batches/hero_batch_001/reports/crop_layout_check;
scripts/check_batch_crop_layout_v2.py;1;13680;13.36 Ko;1;6;0;PIL | __future__ | crop_hero_samples | math | pathlib | sys;.jpg | .png | / | __crop_debug.jpg | data/batches/hero_batch_001/raw | data/batches/hero_batch_001/reports/crop_layout_check_v2;
scripts/cluster_batch_with_catalog_anchors.py;1;22606;22.08 Ko;1;10;0;__future__ | cluster_hero_avatars | collections | csv | html | os | pathlib | sys | time | torch | urllib.parse;"
                    </div>

                    <div class=""filename"">
                         | 
                    </div>

                    <div class=""metrics"">
                        Statut initial :
                         | 
                    </div>
                </article>
                 | 
                </div>

                <div class=""cards"">
                     | 
                </div>
            </section>
             | 
            </li>

            <li>
                CONFLICT :
                 | 
            </li>

            <li>
                UNANCHORED :
                 | 
            </li>

            <li>
                UNRESOLVED :
                 | 
            </li>
        </ul>

        <h3>Avatars après consensus de groupe</h3>

        <ul>
            <li>
                ASSIGNED :
                 | 
            </li>
        </ul>

        <p>
            Avatars REVIEW, UNKNOWN ou AMBIGUOUS
            récupérés grâce au groupe :
            <strong> | 
</body>
</html>
 |  avatar(s)
                </h2>

                <div class=""cluster-summary"">
                    <strong>Statut :</strong>
                     | .
        </p>

        <h3>Groupes</h3>

        <ul>
            <li>
                ANCHORED :
                 | / | </strong>
        </p>

        <p>
            Les images du nom sont affichées uniquement pour
            faciliter le contrôle humain. Elles ne participent
            jamais à la création des groupes.
        </p>
    </section>

     | </strong>
        </p>

        <p>
            Un ancrage fort exige :
            similarité ≥  | <br>

                    <strong>Ancrages forts :</strong>
                     | <br>

                    <strong>Cas récupérés :</strong>
                     | <br>

                    <strong>Détail des ancrages :</strong>
                     | <br>

                    <strong>Identité proposée :</strong>
                     | <div class=""anchor-badge"">ANCRAGE FORT</div> | \ | cluster_assignments.csv | cluster_review.html | cluster_summary.csv | crops/avatars_inner | crops/names | data/batches/hero_batch_001 | data/catalog/heroes.csv | reports/anchored_clusters | reports/visual_matching/visual_match_results.csv";
scripts/cluster_hero_avatars.py;1;18539;18.10 Ko;1;13;1;PIL | __future__ | collections | csv | html | numpy | os | pathlib | scipy.cluster.hierarchy | scipy.spatial.distance | sys | time | torch | torch.nn.functional | torch.utils.data | torchvision.models | unicodedata | urllib.parse;"
                    </div>
                    <div class=""filename"">
                         | 
                    </div>
                </div>
                 | 
                    </strong><br>
                    Similarité moyenne :
                     | 
                </div>
            </section>
             | 
                </p>

                <div class=""cards"">
                     | 
                </strong>
            </li>

            <li>
                Noms répartis dans plusieurs groupes :
                <strong>
                     | 
                </strong>
            </li>
        </ul>

        <p>
            Groupes mélangés :
             | 
            </li>

            <li>
                Groupes d’un seul avatar :
                 | 
            </li>

            <li>
                Groupes mélangeant plusieurs noms OCR :
                <strong>
                     | 
        </li>
         | 
        </p>

        <h3>Noms éclatés entre plusieurs groupes</h3>

        <ul>
             | 
        </ul>

        <p>
            Les noms OCR servent uniquement au contrôle.
            Ils ne sont pas utilisés pour créer les groupes.
        </p>
    </section>

     | 
</body>
</html>
 |  avatar(s)
                </h2>

                <p>
                    Groupe technique :  | .html | .jpg | .png | / | </strong>
        </p>

        <ul>
            <li>
                Groupes :
                 | <li>Aucun</li> | \ | data/crops/hero/avatars_inner | data/reports/avatar_clusters | data/reports/hero_names_ocr.csv | summary.csv";
scripts/create_contact_sheets.py;1;4220;4.12 Ko;1;3;0;PIL | __future__ | math | pathlib | sys;.jpg | .png | _contact_sheet.jpg | data/reports | data/samples;
scripts/create_hero_catalog.py;1;7336;7.16 Ko;1;3;0;__future__ | collections | csv | pathlib | sys;data/catalog | data/manifests/hero_avatar_manifest.csv | data/manifests/hero_visual_clusters.csv | hero_appearances.csv | hero_avatar_manifest.csv | hero_name_aliases.csv | heroes.csv;
scripts/create_validation_contact_sheets.py;1;5681;5.55 Ko;1;5;0;PIL | __future__ | math | pathlib | sys;.jpg | .png | / | data/batches/hero_batch_001/raw | data/batches/hero_batch_001/reports;
