batch;screenshot_id;side;slot;metric;v1_value;v2_value;validated_value;truth_label;calibrated;predicted_value;predicted_label;calibration_rule;correct
hero_batch_002;24701;L;1;damage_dealt;1139081;139081;1139081;V1;1;1139081;V1;V1_STRONG_ATTEMPT;1
hero_batch_002;24701;R;1;damage_dealt;1283674;1283672;1283674;V1;0;;;;0
hero_batch_002;24701;R;2;damage_taken;1113917;1113913;1113917;V1;1;1113917;V1;V1_ORIGINAL_VERY_HIGH;1
hero_batch_002;24809;L;2;power;104542;10454;104542;V1;1;104542;V1;V1_STRONG_ATTEMPT;1
hero_batch_002;28468;L;1;power;177079;177070;177079;V1;1;177079;V1;V1_V2_LOW_CONFIDENCE;1
hero_batch_002;28468;L;2;power;165819;165810;165819;V1;1;165819;V1;V1_DUAL_CONFIDENCE;1
hero_batch_002;28468;R;4;healing;682257;82257;682257;V1;1;682257;V1;V1_STRONG_ATTEMPT;1
hero_batch_002;28468;R;5;damage_dealt;8137;137;8137;V1;1;8137;V1;V1_STRONG_ATTEMPT;1
hero_batch_002;29563;R;5;damage_dealt;7532;75323;7532;V1;1;7532;V1;V1_DUAL_CONFIDENCE;1
hero_batch_002;30809;L;4;power;169791;169701;169791;V1;1;169791;V1;V1_THREE_V2_VOTES_OVERRIDDEN;1
hero_batch_002;31047;R;1;power;210282;219282;219282;V2;0;;;;0
hero_batch_002;31047;R;1;damage_taken;637897;37897;637897;V1;1;637897;V1;V1_STRONG_ATTEMPT;1
hero_batch_002;31047;L;2;power;232322;232327;232322;V1;0;;;;0
hero_batch_002;31047;L;2;damage_dealt;10044123;100441;1004412;NEITHER;0;;;;0
hero_batch_002;31047;R;2;power;203011;203911;203911;V2;0;;;;0
hero_batch_002;31047;R;3;damage_dealt;1481403;148140;148140;V2;1;148140;V2;V2_V1_TRAILING_NOISE;1
hero_batch_002;31047;R;3;damage_taken;676940;76940;676940;V1;1;676940;V1;V1_V2_LOST_LEADING_DIGITS;1
hero_batch_002;31047;L;4;power;232230;93993;232230;V1;0;;;;0
hero_batch_002;31047;L;4;damage_dealt;228702;22870733;228702;V1;1;228702;V1;V1_V2_LOW_CONFIDENCE;1
hero_batch_002;31047;R;4;damage_dealt;889283;38928;88928;NEITHER;0;;;;0
hero_batch_002;31047;L;5;damage_dealt;7316;37316;7316;V1;1;7316;V1;V1_STRONG_ATTEMPT;1
hero_batch_002;31047;R;5;healing;85323;5323;85323;V1;0;;;;0
hero_batch_002;33031;R;4;damage_taken;690245;90245;690245;V1;1;690245;V1;V1_V2_LOST_LEADING_DIGITS;1
hero_batch_002;33474;R;1;power;241896;241806;241896;V1;0;;;;0
hero_batch_002;34279;R;5;damage_taken;642200;42200;642200;V1;1;642200;V1;V1_DUAL_CONFIDENCE;1
hero_batch_002;35041;L;4;damage_taken;91551;9101;97337;NEITHER;0;;;;0
hero_batch_002;35041;R;4;damage_dealt;100191;791;160757;NEITHER;0;;;;0
hero_batch_002;35041;R;4;damage_taken;10594;510594;316354;NEITHER;0;;;;0
hero_batch_002;35041;L;5;damage_dealt;901;4090;3931;NEITHER;0;;;;0
hero_batch_002;35041;L;5;damage_taken;40641;406441;486447;NEITHER;0;;;;0
hero_batch_002;35041;L;5;healing;41010;406;175618;NEITHER;0;;;;0
hero_batch_002;35041;R;5;power;9401;9041;95457;NEITHER;0;;;;0
hero_batch_002;35041;R;5;damage_dealt;4;43;33304;NEITHER;0;;;;0
hero_batch_002;35041;R;5;damage_taken;4122100;12210167;1227876;NEITHER;0;;;;0
hero_batch_002;35632;L;4;damage_dealt;17569;17560;17569;V1;0;;;;0
hero_batch_002;35632;R;4;damage_dealt;3231883;23188;23188;V2;0;;;;0
hero_batch_002;35632;R;4;damage_taken;6415363;641536;641536;V2;1;641536;V2;V2_V1_TRAILING_NOISE;1
hero_batch_002;35660;R;4;damage_dealt;3;0;0;V2;0;;;;0
hero_batch_002;35660;R;5;power;179605;170605;179605;V1;0;;;;0
hero_batch_002;36257;R;2;damage_taken;48906171;4890617;4890617;V2;0;;;;0
hero_batch_002;36964;L;2;power;162149;162140;162149;V1;1;162149;V1;V1_THREE_V2_VOTES_OVERRIDDEN;1
hero_batch_002;36964;R;4;healing;808189;8189;808189;V1;1;808189;V1;V1_STRONG_ATTEMPT;1
hero_batch_002;37112;R;4;power;106619;106610;106619;V1;0;;;;0
hero_batch_002;37112;R;5;damage_dealt;40;0;0;V2;0;;;;0
hero_batch_002;37790;R;2;damage_dealt;684447;84447;684447;V1;1;684447;V1;V1_V2_LOST_LEADING_DIGITS;1
hero_batch_002;38170;R;3;damage_taken;1117365;11173655;1117365;V1;1;1117365;V1;V1_CENTER_VARIANT_SUPPORTED;1
hero_batch_003;24068;R;1;damage_taken;643110;43110;643110;V1;1;643110;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;24068;R;1;healing;62226;2226;62226;V1;1;62226;V1;V1_DUAL_CONFIDENCE;1
hero_batch_003;24068;R;4;damage_dealt;8563;563;8563;V1;1;8563;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;24068;R;5;healing;61053;1053;61053;V1;1;61053;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;24509;R;1;damage_dealt;1452574;14525740;1452574;V1;1;1452574;V1;V1_DUAL_CONFIDENCE;1
hero_batch_003;24753;R;1;damage_taken;607305;507305;607305;V1;1;607305;V1;V1_ORIGINAL_VERY_HIGH;1
hero_batch_003;24818;L;2;power;104542;10454;104542;V1;1;104542;V1;V1_DUAL_CONFIDENCE;1
hero_batch_003;28002;L;3;power;165382;16538;165382;V1;1;165382;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;28153;L;1;damage_dealt;2142041;142041;2142041;V1;1;2142041;V1;V1_V2_LOST_LEADING_DIGITS;1
hero_batch_003;28153;L;1;damage_taken;2485694;485694;2485694;V1;1;2485694;V1;V1_CENTER_VARIANT_SUPPORTED;1
hero_batch_003;28153;R;1;damage_taken;1022259;102225;1022259;V1;1;1022259;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;28153;L;2;healing;2504891;504891;2504891;V1;1;2504891;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;28153;L;4;healing;1408679;408679;1408679;V1;1;1408679;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;28153;L;5;healing;4870679;870679;4870679;V1;1;4870679;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;28153;R;5;damage_taken;1257361;125736;1257361;V1;1;1257361;V1;V1_DUAL_CONFIDENCE;1
hero_batch_003;2820;R;4;damage_dealt;8947;89473;8947;V1;1;8947;V1;V1_DAMAGE_ORIGINAL_HIGH;1
hero_batch_003;28314;R;2;damage_dealt;69307;9307;69307;V1;1;69307;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;28353;R;5;power;510012;;135812;NEITHER;0;;;;0
hero_batch_003;28353;R;5;damage_dealt;2091434;51440274;20974;NEITHER;0;;;;0
hero_batch_003;28353;R;5;damage_taken;7000010;400010;403561;NEITHER;0;;;;0
hero_batch_003;29714;L;3;power;135582;135587;135582;V1;1;135582;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;29803;L;1;damage_dealt;5271786;5971783;5271786;V1;0;;;;0
hero_batch_003;29803;L;1;damage_taken;15531;315531;15531;V1;1;15531;V1;V1_ORIGINAL_VERY_HIGH;1
hero_batch_003;29803;R;1;damage_dealt;2208035;23208035;3298035;NEITHER;0;;;;0
hero_batch_003;29803;L;2;damage_dealt;74018;37401;74018;V1;1;74018;V1;V1_DUAL_CONFIDENCE;1
hero_batch_003;29803;R;2;damage_dealt;6286372;62863723;628637;NEITHER;0;;;;0
hero_batch_003;29803;L;3;power;199549;199540;199549;V1;0;;;;0
hero_batch_003;30497;L;1;power;91651;91652;216531;NEITHER;0;;;;0
hero_batch_003;30614;R;1;healing;449040;49040;449040;V1;1;449040;V1;V1_V2_LOST_LEADING_DIGITS;1
hero_batch_003;30614;R;3;damage_dealt;68523;8523;68523;V1;1;68523;V1;V1_V2_LOST_LEADING_DIGITS;1
hero_batch_003;30614;R;4;healing;68474;8474;68474;V1;1;68474;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;30614;R;5;damage_taken;630911;30911;630911;V1;1;630911;V1;V1_DUAL_CONFIDENCE;1
hero_batch_003;30614;R;5;healing;679714;79714;679714;V1;1;679714;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;31260;L;5;power;164352;16435;164352;V1;1;164352;V1;V1_DUAL_CONFIDENCE;1
hero_batch_003;31352;R;3;damage_taken;1247851;12478511;1247851;V1;1;1247851;V1;V1_CENTER_VARIANT_SUPPORTED;1
hero_batch_003;31438;R;3;power;85089;5089;85089;V1;1;85089;V1;V1_STRONG_ATTEMPT;1
hero_batch_003;31748;L;5;power;179282;17928;179282;V1;1;179282;V1;V1_DUAL_CONFIDENCE;1
hero_batch_003;32650;L;1;power;192079;192070;192079;V1;1;192079;V1;V1_DUAL_CONFIDENCE;1
