appearance_id;hero_uid;technical_cluster_id;avatar_count;sample_files;appearance_type;reviewed;notes
aidan__appearance_01;HW_HERO_0001;39;12;2803_Screenshot_20250709-140336__L4.png | 2804_Screenshot_20250709-140324__L4.png | 2809_Screenshot_20250709-175158__R5.png | 2810_Screenshot_20250709-175224__L3.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L5.png;unknown_variant;0;
andvari__appearance_01;HW_HERO_0002;5;4;2801_Screenshot_20250708-120939__L4.png | 2802_Screenshot_20250708-120933__L3.png | 2807_Screenshot_20250709-124710__L4.png | 2808_Screenshot_20250709-124612__L3.png;unknown_variant;0;
astaroth__appearance_01;HW_HERO_0003;1;4;2801_Screenshot_20250708-120939__R5.png | 2802_Screenshot_20250708-120933__R4.png | 2808_Screenshot_20250709-124612__R4.png | 2809_Screenshot_20250709-175158__R4.png;unknown_variant;0;
astaroth__appearance_02;HW_HERO_0003;2;3;2803_Screenshot_20250709-140336__L3.png | 2804_Screenshot_20250709-140324__L3.png | 2810_Screenshot_20250709-175224__L1.png;unknown_variant;0;
byrna__appearance_01;HW_HERO_0004;19;8;38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L3.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R5.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R3.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R4.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L3.png;unknown_variant;0;
cascade__appearance_01;HW_HERO_0005;28;2;2805_Screenshot_20250709-125031__R1.png | 2807_Screenshot_20250709-124710__R1.png;unknown_variant;0;
celeste__appearance_01;HW_HERO_0006;24;6;2801_Screenshot_20250708-120939__L3.png | 2801_Screenshot_20250708-120939__R4.png | 2802_Screenshot_20250708-120933__L2.png | 2805_Screenshot_20250709-125031__R4.png | 2807_Screenshot_20250709-124710__L3.png;unknown_variant;0;
champi_et_gnon__appearance_01;HW_HERO_0007;15;4;33468_IMG_4582__L1.png | 35456_8AAF3940-A958-4C51-8E39-E57D829FCBDA__R2.png | 37640_IMG_4894__L2.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L1.png;unknown_variant;1;
corvus__appearance_01;HW_HERO_0008;48;1;2807_Screenshot_20250709-124710__R3.png;unknown_variant;0;
crow__appearance_01;HW_HERO_0009;32;1;38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L2.png;unknown_variant;0;
dante__appearance_01;HW_HERO_0010;38;4;2804_Screenshot_20250709-140324__R1.png | 2807_Screenshot_20250709-124710__R2.png | 2810_Screenshot_20250709-175224__R3.png | 38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__L4.png;unknown_variant;0;
dorian__appearance_01;HW_HERO_0011;42;2;2804_Screenshot_20250709-140324__R3.png | 2806_Screenshot_20250709-124954__R5.png;skin_or_variant;0;
dorian__appearance_02;HW_HERO_0011;27;1;38235_Screenshot_20260728_193758_Hero_Wars__L3.png;skin_or_variant;0;
electra_von_grave__appearance_01;HW_HERO_0012;30;8;38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R4.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L5.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L4.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R5.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R2.png;unknown_variant;0;
fafnir__appearance_01;HW_HERO_0013;7;3;2808_Screenshot_20250709-124612__R5.png | 2809_Screenshot_20250709-175158__L5.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L5.png;unknown_variant;0;
folio__appearance_01;HW_HERO_0014;52;9;2801_Screenshot_20250708-120939__L2.png | 2802_Screenshot_20250708-120933__L4.png | 2806_Screenshot_20250709-124954__L3.png | 2807_Screenshot_20250709-124710__L2.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L1.png;unknown_variant;0;
galaad__appearance_01;HW_HERO_0015;23;6;27024_Screenshot_20260308_124143_Hero_Wars__R4.png | 2801_Screenshot_20250708-120939__R3.png | 2802_Screenshot_20250708-120933__R2.png | 2806_Screenshot_20250709-124954__L2.png | 2806_Screenshot_20250709-124954__R2.png;unknown_variant;1;
ginger__appearance_01;HW_HERO_0016;13;1;2805_Screenshot_20250709-125031__R3.png;unknown_variant;0;
guus__appearance_01;HW_HERO_0017;4;9;2803_Screenshot_20250709-140336__L5.png | 2803_Screenshot_20250709-140336__R5.png | 2804_Screenshot_20250709-140324__L5.png | 2804_Screenshot_20250709-140324__R5.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L2.png;unknown_variant;0;
iris__appearance_01;HW_HERO_0018;35;9;2810_Screenshot_20250709-175224__R1.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L1.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R1.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L1.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R1.png;unknown_variant;0;
ishmael__appearance_01;HW_HERO_0019;8;3;2805_Screenshot_20250709-125031__L2.png | 2808_Screenshot_20250709-124612__R1.png | 2809_Screenshot_20250709-175158__L2.png;unknown_variant;0;
jet__appearance_01;HW_HERO_0020;54;1;2804_Screenshot_20250709-140324__R4.png;unknown_variant;0;
jhu__appearance_01;HW_HERO_0021;10;3;2805_Screenshot_20250709-125031__R2.png | 2806_Screenshot_20250709-124954__L1.png | 2808_Screenshot_20250709-124612__L2.png;unknown_variant;0;
jhu__appearance_02;HW_HERO_0021;batch001:REVIEW_GROUP_002;2;25048_Screenshot_2026-02-20-20-55-07-685_com.nexters.herowars__R4.png | 30662_Screenshot_20260415_165146_Hero_Wars__R2.png;human_reviewed_variant;1;"Créée après validation humaine du lot hero_batch_001. Portrait validé comme Jhu ; nouvelle apparence visuelle."
jorgen__appearance_01;HW_HERO_0022;47;2;2802_Screenshot_20250708-120933__R3.png | 2809_Screenshot_20250709-175158__R3.png;unknown_variant;0;
juge__appearance_01;HW_HERO_0023;50;9;23003_Screenshot_20260120_101255_Hero_Wars__R4.png | 24109_IMG_0216__L4.png | 25470_IMG_3791__L4.png | 27024_Screenshot_20260308_124143_Hero_Wars__L5.png | 34508_Screenshot_20260525_012845_Hero_Wars__L2.png;unknown_variant;1;
julius__appearance_01;HW_HERO_0024;53;6;2803_Screenshot_20250709-140336__R4.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L4.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R4.png | 38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__R3.png | 38233_Screenshot_20260728_194145_Hero_Wars__L3.png;unknown_variant;0;
karkh__appearance_01;HW_HERO_0025;56;1;2806_Screenshot_20250709-124954__R1.png;unknown_variant;0;
kayla__appearance_01;HW_HERO_0026;37;8;2803_Screenshot_20250709-140336__L1.png | 2804_Screenshot_20250709-140324__L1.png | 2810_Screenshot_20250709-175224__L5.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R1.png | 38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__R1.png;unknown_variant;0;
keira__appearance_01;HW_HERO_0027;40;5;2801_Screenshot_20250708-120939__L1.png | 2801_Screenshot_20250708-120939__R2.png | 2802_Screenshot_20250708-120933__L1.png | 2807_Screenshot_20250709-124710__L1.png | 2808_Screenshot_20250709-124612__L1.png;unknown_variant;0;
kendle__appearance_01;HW_HERO_0028;36;1;38235_Screenshot_20260728_193758_Hero_Wars__L2.png;unknown_variant;0;
