avatar_file;hero_uid;appearance_id;ocr_text;ocr_confidence;ocr_status;screenshot_id;side;slot;label_source;reviewed
2801_Screenshot_20250708-120939__L1.png;HW_HERO_0027;keira__appearance_01;Keira;0.9999951486052463;HIGH;2801;L;1;visual_cluster_and_ocr;0
2801_Screenshot_20250708-120939__L2.png;HW_HERO_0014;folio__appearance_01;Folio;0.9999643341868938;HIGH;2801;L;2;visual_cluster_and_ocr;0
2801_Screenshot_20250708-120939__L3.png;HW_HERO_0006;celeste__appearance_01;Céleste;0.9993695450672674;HIGH;2801;L;3;visual_cluster_and_ocr;0
2801_Screenshot_20250708-120939__L4.png;HW_HERO_0002;andvari__appearance_01;Andvari;0.9999782825094796;HIGH;2801;L;4;visual_cluster_and_ocr;0
2801_Screenshot_20250708-120939__L5.png;HW_HERO_0032;martha__appearance_01;Martha;0.9999941599575274;HIGH;2801;L;5;visual_cluster_and_ocr;0
2801_Screenshot_20250708-120939__R1.png;HW_HERO_0043;qing_mao__appearance_01;Qing Mao;0.6656587491167032;MEDIUM;2801;R;1;visual_cluster_and_ocr;0
2801_Screenshot_20250708-120939__R2.png;HW_HERO_0027;keira__appearance_01;Keira;0.9999916300095111;HIGH;2801;R;2;visual_cluster_and_ocr;0
2801_Screenshot_20250708-120939__R3.png;HW_HERO_0015;galaad__appearance_01;Galaad;0.9999871032293127;HIGH;2801;R;3;visual_cluster_and_ocr;0
2801_Screenshot_20250708-120939__R4.png;HW_HERO_0006;celeste__appearance_01;Céleste;0.9998008872629848;HIGH;2801;R;4;visual_cluster_and_ocr;0
2801_Screenshot_20250708-120939__R5.png;HW_HERO_0003;astaroth__appearance_01;Astaroth;0.9999790950726293;HIGH;2801;R;5;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__L1.png;HW_HERO_0027;keira__appearance_01;Keira;0.9999951486052463;HIGH;2802;L;1;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__L2.png;HW_HERO_0006;celeste__appearance_01;Céleste;0.9994074003193268;HIGH;2802;L;2;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__L3.png;HW_HERO_0002;andvari__appearance_01;Andvari;0.9999799496251441;HIGH;2802;L;3;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__L4.png;HW_HERO_0014;folio__appearance_01;Folio;0.9999896574627776;HIGH;2802;L;4;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__L5.png;HW_HERO_0032;martha__appearance_01;Martha;0.9999941599575274;HIGH;2802;L;5;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__R1.png;HW_HERO_0045;satori__appearance_01;Satori;0.999993965289313;HIGH;2802;R;1;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__R2.png;HW_HERO_0015;galaad__appearance_01;Galaad;0.9999920186067003;HIGH;2802;R;2;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__R3.png;HW_HERO_0022;jorgen__appearance_01;Jorgen;0.9999982966550706;HIGH;2802;R;3;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__R4.png;HW_HERO_0003;astaroth__appearance_01;Astaroth;0.9761962442488433;HIGH;2802;R;4;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__R5.png;HW_HERO_0032;martha__appearance_01;Martha;0.9634533891971019;HIGH;2802;R;5;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__L1.png;HW_HERO_0026;kayla__appearance_01;Kayla;0.9999780887335017;HIGH;2803;L;1;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__L2.png;HW_HERO_0040;peech__appearance_01;Peech;0.9999948287329671;HIGH;2803;L;2;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__L3.png;HW_HERO_0003;astaroth__appearance_02;Astaroth;0.9999926242902437;HIGH;2803;L;3;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__L4.png;HW_HERO_0001;aidan__appearance_01;Aidan;0.999974623442856;HIGH;2803;L;4;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__L5.png;HW_HERO_0017;guus__appearance_01;Guus;0.9999657869338989;HIGH;2803;L;5;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__R1.png;HW_HERO_0042;polaris__appearance_01;Polaris;0.9999923403215568;HIGH;2803;R;1;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__R2.png;HW_HERO_0030;lian__appearance_01;Lian;0.9899550080299377;HIGH;2803;R;2;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__R3.png;HW_HERO_0047;soleil__appearance_01;Soleil;0.9998835383719329;HIGH;2803;R;3;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__R4.png;HW_HERO_0024;julius__appearance_01;Julius;0.9999981019870372;HIGH;2803;R;4;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__R5.png;HW_HERO_0017;guus__appearance_01;Guus;0.9999259114265442;HIGH;2803;R;5;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__L1.png;HW_HERO_0026;kayla__appearance_01;Kayla;0.9999780887335017;HIGH;2804;L;1;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__L2.png;HW_HERO_0040;peech__appearance_01;Peech;0.9999947754209193;HIGH;2804;L;2;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__L3.png;HW_HERO_0003;astaroth__appearance_02;Astaroth;0.9999926242902437;HIGH;2804;L;3;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__L4.png;HW_HERO_0001;aidan__appearance_01;Aidan;0.999974623442856;HIGH;2804;L;4;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__L5.png;HW_HERO_0017;guus__appearance_01;Guus;0.9998087882995605;HIGH;2804;L;5;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__R1.png;HW_HERO_0010;dante__appearance_01;Dante;0.9999723310190344;HIGH;2804;R;1;visual_cluster_and_ocr;0
