screenshot_id;side;slot;avatar_file;name_file;visual_hero_uid;visual_hero_name;visual_status;visual_similarity;visual_margin;ocr_text;ocr_confidence;ocr_status;ocr_matched_hero_uid;ocr_matched_hero_name;ocr_matched_alias;ocr_match_method;ocr_match_score;ocr_alias_key;ocr_cleaned_alias_key;decision;final_hero_uid;final_hero_name;review_required
22371;L;1;22371_IMG_3530__L1.png;22371_IMG_3530__L1.png;HW_HERO_0026;Kayla;ACCEPTED;0.945057;0.081551;Kavla;0.9997627048978306;HIGH;HW_HERO_0026;Kayla;Kayla;VISUAL_ALIAS_ONE_EDIT_OCR;0.8;kavla;kayla;CONFIRMED;HW_HERO_0026;Kayla;0
22371;L;2;22371_IMG_3530__L2.png;22371_IMG_3530__L2.png;HW_HERO_0037;Octavia;ACCEPTED;0.961272;0.075365;Octavia;0.9998878964628852;HIGH;HW_HERO_0037;Octavia;Octavia;EXACT_ALIAS;1.0;octavia;octavia;CONFIRMED;HW_HERO_0037;Octavia;0
22371;L;3;22371_IMG_3530__L3.png;22371_IMG_3530__L3.png;HW_HERO_0010;Dante;ACCEPTED;0.973303;0.070945;Dante;0.9999445020106112;HIGH;HW_HERO_0010;Dante;Dante;EXACT_ALIAS;1.0;dante;dante;CONFIRMED;HW_HERO_0010;Dante;0
22371;L;4;22371_IMG_3530__L4.png;22371_IMG_3530__L4.png;HW_HERO_0017;Guus;ACCEPTED;0.963523;0.132389;Guus;0.9998028874397278;HIGH;HW_HERO_0017;Guus;Guus;EXACT_ALIAS;1.0;guus;guus;CONFIRMED;HW_HERO_0017;Guus;0
22371;L;5;22371_IMG_3530__L5.png;22371_IMG_3530__L5.png;HW_HERO_0001;Aidan;ACCEPTED;0.969362;0.07757;Aidan;0.9921856251425583;HIGH;HW_HERO_0001;Aidan;Aidan;EXACT_ALIAS;1.0;aidan;aidan;CONFIRMED;HW_HERO_0001;Aidan;0
22371;R;1;22371_IMG_3530__R1.png;22371_IMG_3530__R1.png;HW_HERO_0018;Iris;ACCEPTED;0.962446;0.053568;Iris;0.6501958042422902;MEDIUM;HW_HERO_0018;Iris;Iris;EXACT_ALIAS;1.0;iris;iris;CONFIRMED;HW_HERO_0018;Iris;0
22371;R;2;22371_IMG_3530__R2.png;22371_IMG_3530__R2.png;HW_HERO_0026;Kayla;ACCEPTED;0.964434;0.078339;Kavla;0.9656745419791241;HIGH;HW_HERO_0026;Kayla;Kayla;VISUAL_ALIAS_ONE_EDIT_OCR;0.8;kavla;kayla;CONFIRMED;HW_HERO_0026;Kayla;0
22371;R;3;22371_IMG_3530__R3.png;22371_IMG_3530__R3.png;HW_HERO_0024;Julius;ACCEPTED;0.959728;0.108092;Julius;0.9999984426560902;HIGH;HW_HERO_0024;Julius;Julius;EXACT_ALIAS;1.0;julius;julius;CONFIRMED;HW_HERO_0024;Julius;0
22371;R;4;22371_IMG_3530__R4.png;22371_IMG_3530__R4.png;HW_HERO_0049;Tempus;ACCEPTED;0.955857;0.107535;Tempus;0.9332869418408541;HIGH;HW_HERO_0049;Tempus;Tempus;EXACT_ALIAS;1.0;tempus;tempus;CONFIRMED;HW_HERO_0049;Tempus;0
22371;R;5;22371_IMG_3530__R5.png;22371_IMG_3530__R5.png;HW_HERO_0001;Aidan;ACCEPTED;0.977404;0.091584;Aidan;0.9999679594183994;HIGH;HW_HERO_0001;Aidan;Aidan;EXACT_ALIAS;1.0;aidan;aidan;CONFIRMED;HW_HERO_0001;Aidan;0
22476;L;1;22476_Screenshot_20260130_170354_Hero_Wars__L1.png;22476_Screenshot_20260130_170354_Hero_Wars__L1.png;HW_HERO_0052;Yasmine;ACCEPTED;0.963745;0.081266;Yasmine;0.9959461505479154;HIGH;HW_HERO_0052;Yasmine;Yasmine;EXACT_ALIAS;1.0;yasmine;yasmine;CONFIRMED;HW_HERO_0052;Yasmine;0
22476;L;2;22476_Screenshot_20260130_170354_Hero_Wars__L2.png;22476_Screenshot_20260130_170354_Hero_Wars__L2.png;HW_HERO_0024;Julius;ACCEPTED;0.967079;0.126259;Julius;0.6144405505680222;MEDIUM;HW_HERO_0024;Julius;Julius;EXACT_ALIAS;1.0;julius;julius;CONFIRMED;HW_HERO_0024;Julius;0
22476;L;3;22476_Screenshot_20260130_170354_Hero_Wars__L3.png;22476_Screenshot_20260130_170354_Hero_Wars__L3.png;HW_HERO_0056;Isaac;ACCEPTED;0.976252;0.144937;Isaac;0.9997603591031359;HIGH;HW_HERO_0056;Isaac;Isaac;EXACT_ALIAS;1.0;isaac;isaac;CONFIRMED;HW_HERO_0056;Isaac;0
22476;L;4;22476_Screenshot_20260130_170354_Hero_Wars__L4.png;22476_Screenshot_20260130_170354_Hero_Wars__L4.png;HW_HERO_0046;Sébastien;ACCEPTED;0.953179;0.079257;Sébastien;0.9998274172387439;HIGH;HW_HERO_0046;Sébastien;Sébastien;EXACT_ALIAS;1.0;sebastien;sebastien;CONFIRMED;HW_HERO_0046;Sébastien;0
22476;L;5;22476_Screenshot_20260130_170354_Hero_Wars__L5.png;22476_Screenshot_20260130_170354_Hero_Wars__L5.png;HW_HERO_0023;Juge;ACCEPTED;0.976045;0.13136;Juae;0.5872944531642764;LOW;;;;NO_MATCH;0.0;juae;;VISUAL_ONLY;HW_HERO_0023;Juge;0
22476;R;1;22476_Screenshot_20260130_170354_Hero_Wars__R1.png;22476_Screenshot_20260130_170354_Hero_Wars__R1.png;HW_HERO_0006;Céleste;ACCEPTED;0.954695;0.05522;Céleste;0.6483833858327929;MEDIUM;HW_HERO_0006;Céleste;Céleste;EXACT_ALIAS;1.0;celeste;celeste;CONFIRMED;HW_HERO_0006;Céleste;0
22476;R;2;22476_Screenshot_20260130_170354_Hero_Wars__R2.png;22476_Screenshot_20260130_170354_Hero_Wars__R2.png;HW_HERO_0045;Satori;ACCEPTED;0.971928;0.075964;Satori;0.9999622342565219;HIGH;HW_HERO_0045;Satori;Satori;EXACT_ALIAS;1.0;satori;satori;CONFIRMED;HW_HERO_0045;Satori;0
22476;R;3;22476_Screenshot_20260130_170354_Hero_Wars__R3.png;22476_Screenshot_20260130_170354_Hero_Wars__R3.png;HW_HERO_0003;Astaroth;ACCEPTED;0.923666;0.131699;Astaroth;0.9999543966791951;HIGH;HW_HERO_0003;Astaroth;Astaroth;EXACT_ALIAS;1.0;astaroth;astaroth;CONFIRMED;HW_HERO_0003;Astaroth;0
22476;R;4;22476_Screenshot_20260130_170354_Hero_Wars__R4.png;22476_Screenshot_20260130_170354_Hero_Wars__R4.png;HW_HERO_0030;Lian;ACCEPTED;0.968934;0.07356;Lian;0.9994302988052368;HIGH;HW_HERO_0030;Lian;Lian;EXACT_ALIAS;1.0;lian;lian;CONFIRMED;HW_HERO_0030;Lian;0
22476;R;5;22476_Screenshot_20260130_170354_Hero_Wars__R5.png;22476_Screenshot_20260130_170354_Hero_Wars__R5.png;HW_HERO_0054;Amira;ACCEPTED;0.984016;0.100965;Amira;0.9999835798834686;HIGH;HW_HERO_0054;Amira;Amira;EXACT_ALIAS;1.0;amira;amira;CONFIRMED;HW_HERO_0054;Amira;0
23466;L;1;23466_Screenshot_20260106_210408_Hero_Wars__L1.png;23466_Screenshot_20260106_210408_Hero_Wars__L1.png;HW_HERO_0018;Iris;ACCEPTED;0.974837;0.081606;Iris;0.9990379214286804;HIGH;HW_HERO_0018;Iris;Iris;EXACT_ALIAS;1.0;iris;iris;CONFIRMED;HW_HERO_0018;Iris;0
23466;L;2;23466_Screenshot_20260106_210408_Hero_Wars__L2.png;23466_Screenshot_20260106_210408_Hero_Wars__L2.png;HW_HERO_0049;Tempus;ACCEPTED;0.963962;0.103748;Tempus;0.670736018668373;MEDIUM;HW_HERO_0049;Tempus;Tempus;EXACT_ALIAS;1.0;tempus;tempus;CONFIRMED;HW_HERO_0049;Tempus;0
23466;L;3;23466_Screenshot_20260106_210408_Hero_Wars__L3.png;23466_Screenshot_20260106_210408_Hero_Wars__L3.png;HW_HERO_0037;Octavia;ACCEPTED;0.96824;0.075011;Octavia;0.9997450577005299;HIGH;HW_HERO_0037;Octavia;Octavia;EXACT_ALIAS;1.0;octavia;octavia;CONFIRMED;HW_HERO_0037;Octavia;0
23466;L;4;23466_Screenshot_20260106_210408_Hero_Wars__L4.png;23466_Screenshot_20260106_210408_Hero_Wars__L4.png;HW_HERO_0048;Somna;ACCEPTED;0.962806;0.090529;Somna;0.9998457669366634;HIGH;HW_HERO_0048;Somna;Somna;EXACT_ALIAS;1.0;somna;somna;CONFIRMED;HW_HERO_0048;Somna;0
23466;L;5;23466_Screenshot_20260106_210408_Hero_Wars__L5.png;23466_Screenshot_20260106_210408_Hero_Wars__L5.png;HW_HERO_0008;Corvus;ACCEPTED;0.938319;0.07048;Corvus;0.9998587174887813;HIGH;HW_HERO_0008;Corvus;Corvus;EXACT_ALIAS;1.0;corvus;corvus;CONFIRMED;HW_HERO_0008;Corvus;0
23466;R;1;23466_Screenshot_20260106_210408_Hero_Wars__R1.png;23466_Screenshot_20260106_210408_Hero_Wars__R1.png;HW_HERO_0014;Folio;ACCEPTED;0.980885;0.134118;Folio;0.9999675862328748;HIGH;HW_HERO_0014;Folio;Folio;EXACT_ALIAS;1.0;folio;folio;CONFIRMED;HW_HERO_0014;Folio;0
23466;R;2;23466_Screenshot_20260106_210408_Hero_Wars__R2.png;23466_Screenshot_20260106_210408_Hero_Wars__R2.png;HW_HERO_0024;Julius;ACCEPTED;0.970605;0.136632;Julius;0.999998247988063;HIGH;HW_HERO_0024;Julius;Julius;EXACT_ALIAS;1.0;julius;julius;CONFIRMED;HW_HERO_0024;Julius;0
23466;R;3;23466_Screenshot_20260106_210408_Hero_Wars__R3.png;23466_Screenshot_20260106_210408_Hero_Wars__R3.png;HW_HERO_0042;Polaris;ACCEPTED;0.969892;0.100244;Polaris;0.9999842751102511;HIGH;HW_HERO_0042;Polaris;Polaris;EXACT_ALIAS;1.0;polaris;polaris;CONFIRMED;HW_HERO_0042;Polaris;0
23466;R;4;23466_Screenshot_20260106_210408_Hero_Wars__R4.png;23466_Screenshot_20260106_210408_Hero_Wars__R4.png;HW_HERO_0023;Juge;ACCEPTED;0.991797;0.153543;Judae;0.999426716503298;HIGH;HW_HERO_0023;Juge;Judge;VISUAL_ALIAS_ONE_EDIT_OCR;0.8;judae;judge;CONFIRMED;HW_HERO_0023;Juge;0
23466;R;5;23466_Screenshot_20260106_210408_Hero_Wars__R5.png;23466_Screenshot_20260106_210408_Hero_Wars__R5.png;HW_HERO_0036;Nébula;ACCEPTED;0.967054;0.08849;Nebula;0.9999229594899702;HIGH;HW_HERO_0036;Nébula;Nébula;EXACT_ALIAS;1.0;nebula;nebula;CONFIRMED;HW_HERO_0036;Nébula;0
24055;L;1;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__L1.png;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__L1.png;HW_HERO_0014;Folio;ACCEPTED;0.96825;0.117511;Folio;0.9999845928136561;HIGH;HW_HERO_0014;Folio;Folio;EXACT_ALIAS;1.0;folio;folio;CONFIRMED;HW_HERO_0014;Folio;0
24055;L;2;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__L2.png;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__L2.png;HW_HERO_0058;Cornélius;ACCEPTED;0.991504;0.158619;Cornélius;0.999852016060291;HIGH;HW_HERO_0058;Cornélius;Cornélius;EXACT_ALIAS;1.0;cornelius;cornelius;CONFIRMED;HW_HERO_0058;Cornélius;0
24055;L;3;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__L3.png;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__L3.png;HW_HERO_0037;Octavia;ACCEPTED;0.968167;0.088853;Octavia;0.999797237419194;HIGH;HW_HERO_0037;Octavia;Octavia;EXACT_ALIAS;1.0;octavia;octavia;CONFIRMED;HW_HERO_0037;Octavia;0
24055;L;4;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__L4.png;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__L4.png;HW_HERO_0017;Guus;ACCEPTED;0.982242;0.137194;Guus;0.9998826384544373;HIGH;HW_HERO_0017;Guus;Guus;EXACT_ALIAS;1.0;guus;guus;CONFIRMED;HW_HERO_0017;Guus;0
24055;L;5;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__L5.png;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__L5.png;HW_HERO_0001;Aidan;ACCEPTED;0.973858;0.088323;Aidan;0.9999643341868938;HIGH;HW_HERO_0001;Aidan;Aidan;EXACT_ALIAS;1.0;aidan;aidan;CONFIRMED;HW_HERO_0001;Aidan;0
24055;R;1;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__R1.png;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__R1.png;HW_HERO_0018;Iris;ACCEPTED;0.957533;0.062196;Iris;0.9993481636047363;HIGH;HW_HERO_0018;Iris;Iris;EXACT_ALIAS;1.0;iris;iris;CONFIRMED;HW_HERO_0018;Iris;0
24055;R;2;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__R2.png;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__R2.png;HW_HERO_0014;Folio;ACCEPTED;0.959245;0.109034;Folio;0.9952630047093038;HIGH;HW_HERO_0014;Folio;Folio;EXACT_ALIAS;1.0;folio;folio;CONFIRMED;HW_HERO_0014;Folio;0
24055;R;3;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__R3.png;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__R3.png;HW_HERO_0012;Electra von Grave;ACCEPTED;0.962579;0.080472;Electra von Grave;0.9302287328937163;HIGH;HW_HERO_0012;Electra von Grave;Electra von Grave;EXACT_ALIAS;1.0;electra von grave;electra von grave;CONFIRMED;HW_HERO_0012;Electra von Grave;0
24055;R;4;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__R4.png;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__R4.png;HW_HERO_0048;Somna;ACCEPTED;0.943461;0.091692;Somna;0.9932418760286584;HIGH;HW_HERO_0048;Somna;Somna;EXACT_ALIAS;1.0;somna;somna;CONFIRMED;HW_HERO_0048;Somna;0
24055;R;5;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__R5.png;24055_Screenshot_2026-02-01-02-23-53-878_com.nexters.herowars__R5.png;HW_HERO_0042;Polaris;ACCEPTED;0.978646;0.108714;Polaris;0.9929499995896457;HIGH;HW_HERO_0042;Polaris;Polaris;EXACT_ALIAS;1.0;polaris;polaris;CONFIRMED;HW_HERO_0042;Polaris;0
24068;L;1;24068_Screenshot_20260206_233816_Hero_Wars__L1.png;24068_Screenshot_20260206_233816_Hero_Wars__L1.png;HW_HERO_0018;Iris;ACCEPTED;0.977406;0.0767;Iris;0.999707043170929;HIGH;HW_HERO_0018;Iris;Iris;EXACT_ALIAS;1.0;iris;iris;CONFIRMED;HW_HERO_0018;Iris;0
24068;L;2;24068_Screenshot_20260206_233816_Hero_Wars__L2.png;24068_Screenshot_20260206_233816_Hero_Wars__L2.png;HW_HERO_0052;Yasmine;ACCEPTED;0.973606;0.075099;Yasmine;0.9976475227816469;HIGH;HW_HERO_0052;Yasmine;Yasmine;EXACT_ALIAS;1.0;yasmine;yasmine;CONFIRMED;HW_HERO_0052;Yasmine;0
