appearance_id;hero_uid;technical_cluster_id;avatar_count;sample_files;appearance_type;reviewed;notes
aidan__appearance_01;HW_HERO_0001;39;12;2803_Screenshot_20250709-140336__L4.png | 2804_Screenshot_20250709-140324__L4.png | 2809_Screenshot_20250709-175158__R5.png | 2810_Screenshot_20250709-175224__L3.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L5.png;unknown_variant;0;
guus__appearance_01;HW_HERO_0017;4;9;2803_Screenshot_20250709-140336__L5.png | 2803_Screenshot_20250709-140336__R5.png | 2804_Screenshot_20250709-140324__L5.png | 2804_Screenshot_20250709-140324__R5.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L2.png;unknown_variant;0;
iris__appearance_01;HW_HERO_0018;35;9;2810_Screenshot_20250709-175224__R1.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L1.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R1.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L1.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R1.png;unknown_variant;0;
folio__appearance_01;HW_HERO_0014;52;9;2801_Screenshot_20250708-120939__L2.png | 2802_Screenshot_20250708-120933__L4.png | 2806_Screenshot_20250709-124954__L3.png | 2807_Screenshot_20250709-124710__L2.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L1.png;unknown_variant;0;
byrna__appearance_01;HW_HERO_0004;19;8;38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L3.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R5.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R3.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R4.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L3.png;unknown_variant;0;
electra_von_grave__appearance_01;HW_HERO_0012;30;8;38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R4.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L5.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L4.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R5.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R2.png;unknown_variant;0;
kayla__appearance_01;HW_HERO_0026;37;8;2803_Screenshot_20250709-140336__L1.png | 2804_Screenshot_20250709-140324__L1.png | 2810_Screenshot_20250709-175224__L5.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R1.png | 38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__R1.png;unknown_variant;0;
martha__appearance_01;HW_HERO_0032;11;7;2801_Screenshot_20250708-120939__L5.png | 2802_Screenshot_20250708-120933__L5.png | 2802_Screenshot_20250708-120933__R5.png | 2805_Screenshot_20250709-125031__L5.png | 2805_Screenshot_20250709-125031__R5.png;unknown_variant;0;
lian__appearance_01;HW_HERO_0030;34;7;2803_Screenshot_20250709-140336__R2.png | 2809_Screenshot_20250709-175158__R2.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L2.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L3.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R4.png;unknown_variant;0;
polaris__appearance_01;HW_HERO_0042;43;7;2803_Screenshot_20250709-140336__R1.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R4.png | 38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__R3.png | 38233_Screenshot_20260728_194145_Hero_Wars__L4.png | 38233_Screenshot_20260728_194145_Hero_Wars__R5.png;unknown_variant;0;
