hero_uid;alias;language;source;occurrences;reviewed
HW_HERO_0001;Aidan;unknown;easyocr;12;0
HW_HERO_0002;Andvari;unknown;easyocr;4;0
HW_HERO_0003;Astaroth;unknown;easyocr;7;0
HW_HERO_0004;Byrna;unknown;easyocr;8;0
HW_HERO_0005;Cascade;unknown;easyocr;2;0
HW_HERO_0006;Céleste;unknown;easyocr;6;0
HW_HERO_0007;Champi et Gnon;unknown;easyocr;1;0
HW_HERO_0008;Corvus;unknown;easyocr;1;0
HW_HERO_0009;Crow;unknown;easyocr;1;0
HW_HERO_0010;Dante;unknown;easyocr;4;0
HW_HERO_0011;Dorian;unknown;easyocr;3;0
HW_HERO_0012;Electra von Grave;unknown;easyocr;8;0
HW_HERO_0013;Fafnir;unknown;easyocr;3;0
HW_HERO_0014;Folio;unknown;easyocr;9;0
HW_HERO_0015;Galaad;unknown;easyocr;5;0
HW_HERO_0016;Ginger;unknown;easyocr;1;0
HW_HERO_0017;Guus;unknown;easyocr;9;0
HW_HERO_0018;Iris;unknown;easyocr;9;0
HW_HERO_0019;Ishmaël;unknown;easyocr;3;0
HW_HERO_0020;Jet;unknown;easyocr;1;0
HW_HERO_0021;Jhu;unknown;easyocr;3;0
HW_HERO_0022;Jorgen;unknown;easyocr;2;0
HW_HERO_0023;Juge;unknown;easyocr;1;0
HW_HERO_0024;Julius;unknown;easyocr;6;0
HW_HERO_0025;K'arkh;unknown;easyocr;1;0
HW_HERO_0026;Kayla;unknown;easyocr;8;0
HW_HERO_0027;Keira;unknown;easyocr;5;0
HW_HERO_0028;Kendle;unknown;easyocr;1;0
HW_HERO_0029;Leonel;unknown;easyocr;2;0
HW_HERO_0030;Lian;unknown;easyocr;7;0
HW_HERO_0031;Lilith;unknown;easyocr;1;0
HW_HERO_0032;Martha;unknown;easyocr;7;0
HW_HERO_0033;Maya;unknown;easyocr;2;0
HW_HERO_0034;Miu;unknown;easyocr;1;0
HW_HERO_0035;Mojo;unknown;easyocr;1;0
HW_HERO_0036;Nébula;unknown;easyocr;3;0
HW_HERO_0037;Octavia;unknown;easyocr;7;0
HW_HERO_0038;Orion;unknown;easyocr;2;0
HW_HERO_0039;Oya;unknown;easyocr;2;0
HW_HERO_0040;Peech;unknown;easyocr;2;0
HW_HERO_0041;Phobos;unknown;easyocr;1;0
HW_HERO_0042;Polaris;unknown;easyocr;7;0
HW_HERO_0043;Qing Mao;unknown;easyocr;2;0
HW_HERO_0044;Rufus;unknown;easyocr;2;0
HW_HERO_0045;Satori;unknown;easyocr;4;0
HW_HERO_0046;Sébastien;unknown;easyocr;1;0
HW_HERO_0047;Soleil;unknown;easyocr;2;0
HW_HERO_0048;Somna;unknown;easyocr;2;0
HW_HERO_0049;Tempus;unknown;easyocr;7;0
HW_HERO_0050;Tristan;unknown;easyocr;2;0
HW_HERO_0051;Xe'Sha;unknown;easyocr;4;0
HW_HERO_0052;Yasmine;unknown;easyocr;4;0
HW_HERO_0053;Ziri;unknown;easyocr;1;0
