hero_uid;reference_name;provisional_key;reviewed;notes
HW_HERO_0001;Aidan;aidan;0;
HW_HERO_0002;Andvari;andvari;0;
HW_HERO_0003;Astaroth;astaroth;0;
HW_HERO_0004;Byrna;byrna;0;
HW_HERO_0005;Cascade;cascade;0;
HW_HERO_0006;Céleste;celeste;0;
HW_HERO_0007;Champi et Gnon;champi_et_gnon;0;
HW_HERO_0008;Corvus;corvus;0;
HW_HERO_0009;Crow;crow;0;
HW_HERO_0010;Dante;dante;0;
HW_HERO_0011;Dorian;dorian;0;
HW_HERO_0012;Electra von Grave;electra_von_grave;0;
HW_HERO_0013;Fafnir;fafnir;0;
HW_HERO_0014;Folio;folio;0;
HW_HERO_0015;Galaad;galaad;0;
HW_HERO_0016;Ginger;ginger;0;
HW_HERO_0017;Guus;guus;0;
HW_HERO_0018;Iris;iris;0;
HW_HERO_0019;Ishmaël;ishmael;0;
HW_HERO_0020;Jet;jet;0;
HW_HERO_0021;Jhu;jhu;0;
HW_HERO_0022;Jorgen;jorgen;0;
HW_HERO_0023;Juge;juge;0;
HW_HERO_0024;Julius;julius;0;
HW_HERO_0025;K'arkh;karkh;0;
HW_HERO_0026;Kayla;kayla;0;
HW_HERO_0027;Keira;keira;0;
HW_HERO_0028;Kendle;kendle;0;
HW_HERO_0029;Leonel;leonel;0;
HW_HERO_0030;Lian;lian;0;
HW_HERO_0031;Lilith;lilith;0;
HW_HERO_0032;Martha;martha;0;
HW_HERO_0033;Maya;maya;0;
HW_HERO_0034;Miu;miu;0;
HW_HERO_0035;Mojo;mojo;0;
HW_HERO_0036;Nébula;nebula;0;
HW_HERO_0037;Octavia;octavia;0;
HW_HERO_0038;Orion;orion;0;
HW_HERO_0039;Oya;oya;0;
HW_HERO_0040;Peech;peech;0;
HW_HERO_0041;Phobos;phobos;0;
HW_HERO_0042;Polaris;polaris;0;
HW_HERO_0043;Qing Mao;qing_mao;0;
HW_HERO_0044;Rufus;rufus;0;
HW_HERO_0045;Satori;satori;0;
HW_HERO_0046;Sébastien;sebastien;0;
HW_HERO_0047;Soleil;soleil;0;
HW_HERO_0048;Somna;somna;0;
HW_HERO_0049;Tempus;tempus;0;
HW_HERO_0050;Tristan;tristan;0;
HW_HERO_0051;Xe'Sha;xesha;0;
HW_HERO_0052;Yasmine;yasmine;0;
HW_HERO_0053;Ziri;ziri;0;
HW_HERO_0054;Amira;amira;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0055;Morrigan;morrigan;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0056;Isaac;isaac;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0057;Drayne;drayne;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0058;Cornélius;cornelius;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0059;Artemis;artemis;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0060;Cleaver;cleaver;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0061;Lara Croft;lara_croft;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0062;Luther;luther;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0063;Alvanor;alvanor;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0064;Helios;helios;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0065;Peppy;peppy;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0066;Faceless;faceless;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0067;Arachné;arachne;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0068;Astrid and Lucas;astrid_and_lucas;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0069;Aurore;aurore;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0070;Heidi;heidi;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0071;Kaï;kai;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0072;Krista;krista;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0073;Lars;lars;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0074;Théa;thea;1;Créé après validation humaine du lot hero_batch_001.
HW_HERO_0075;Trompelamort;trompelamort;1;Créé après validation humaine du lot hero_batch_001.
