avatar_file;hero_uid;appearance_id;status;source_path;destination_path;details
2801_Screenshot_20250708-120939__L1.png;HW_HERO_0027;keira__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2801_Screenshot_20250708-120939__L1.png;
2801_Screenshot_20250708-120939__L2.png;HW_HERO_0014;folio__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2801_Screenshot_20250708-120939__L2.png;
2801_Screenshot_20250708-120939__L3.png;HW_HERO_0006;celeste__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2801_Screenshot_20250708-120939__L3.png;
2801_Screenshot_20250708-120939__L4.png;HW_HERO_0002;andvari__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2801_Screenshot_20250708-120939__L4.png;
2801_Screenshot_20250708-120939__L5.png;HW_HERO_0032;martha__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2801_Screenshot_20250708-120939__L5.png;
2801_Screenshot_20250708-120939__R1.png;HW_HERO_0043;qing_mao__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2801_Screenshot_20250708-120939__R1.png;
2801_Screenshot_20250708-120939__R2.png;HW_HERO_0027;keira__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2801_Screenshot_20250708-120939__R2.png;
2801_Screenshot_20250708-120939__R3.png;HW_HERO_0015;galaad__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2801_Screenshot_20250708-120939__R3.png;
2801_Screenshot_20250708-120939__R4.png;HW_HERO_0006;celeste__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2801_Screenshot_20250708-120939__R4.png;
2801_Screenshot_20250708-120939__R5.png;HW_HERO_0003;astaroth__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2801_Screenshot_20250708-120939__R5.png;
2802_Screenshot_20250708-120933__L1.png;HW_HERO_0027;keira__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2802_Screenshot_20250708-120933__L1.png;
2802_Screenshot_20250708-120933__L2.png;HW_HERO_0006;celeste__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2802_Screenshot_20250708-120933__L2.png;
2802_Screenshot_20250708-120933__L3.png;HW_HERO_0002;andvari__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2802_Screenshot_20250708-120933__L3.png;
2802_Screenshot_20250708-120933__L4.png;HW_HERO_0014;folio__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2802_Screenshot_20250708-120933__L4.png;
2802_Screenshot_20250708-120933__L5.png;HW_HERO_0032;martha__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2802_Screenshot_20250708-120933__L5.png;
2802_Screenshot_20250708-120933__R1.png;HW_HERO_0045;satori__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2802_Screenshot_20250708-120933__R1.png;
2802_Screenshot_20250708-120933__R2.png;HW_HERO_0015;galaad__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2802_Screenshot_20250708-120933__R2.png;
2802_Screenshot_20250708-120933__R3.png;HW_HERO_0022;jorgen__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2802_Screenshot_20250708-120933__R3.png;
2802_Screenshot_20250708-120933__R4.png;HW_HERO_0003;astaroth__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2802_Screenshot_20250708-120933__R4.png;
2802_Screenshot_20250708-120933__R5.png;HW_HERO_0032;martha__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2802_Screenshot_20250708-120933__R5.png;
2803_Screenshot_20250709-140336__L1.png;HW_HERO_0026;kayla__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2803_Screenshot_20250709-140336__L1.png;
2803_Screenshot_20250709-140336__L2.png;HW_HERO_0040;peech__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2803_Screenshot_20250709-140336__L2.png;
2803_Screenshot_20250709-140336__L3.png;HW_HERO_0003;astaroth__appearance_02;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2803_Screenshot_20250709-140336__L3.png;
2803_Screenshot_20250709-140336__L4.png;HW_HERO_0001;aidan__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2803_Screenshot_20250709-140336__L4.png;
2803_Screenshot_20250709-140336__L5.png;HW_HERO_0017;guus__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2803_Screenshot_20250709-140336__L5.png;
2803_Screenshot_20250709-140336__R1.png;HW_HERO_0042;polaris__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2803_Screenshot_20250709-140336__R1.png;
2803_Screenshot_20250709-140336__R2.png;HW_HERO_0030;lian__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2803_Screenshot_20250709-140336__R2.png;
2803_Screenshot_20250709-140336__R3.png;HW_HERO_0047;soleil__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2803_Screenshot_20250709-140336__R3.png;
2803_Screenshot_20250709-140336__R4.png;HW_HERO_0024;julius__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2803_Screenshot_20250709-140336__R4.png;
2803_Screenshot_20250709-140336__R5.png;HW_HERO_0017;guus__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2803_Screenshot_20250709-140336__R5.png;
2804_Screenshot_20250709-140324__L1.png;HW_HERO_0026;kayla__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2804_Screenshot_20250709-140324__L1.png;
2804_Screenshot_20250709-140324__L2.png;HW_HERO_0040;peech__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2804_Screenshot_20250709-140324__L2.png;
2804_Screenshot_20250709-140324__L3.png;HW_HERO_0003;astaroth__appearance_02;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2804_Screenshot_20250709-140324__L3.png;
2804_Screenshot_20250709-140324__L4.png;HW_HERO_0001;aidan__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2804_Screenshot_20250709-140324__L4.png;
2804_Screenshot_20250709-140324__L5.png;HW_HERO_0017;guus__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2804_Screenshot_20250709-140324__L5.png;
2804_Screenshot_20250709-140324__R1.png;HW_HERO_0010;dante__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2804_Screenshot_20250709-140324__R1.png;
2804_Screenshot_20250709-140324__R2.png;HW_HERO_0044;rufus__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2804_Screenshot_20250709-140324__R2.png;
2804_Screenshot_20250709-140324__R3.png;HW_HERO_0011;dorian__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2804_Screenshot_20250709-140324__R3.png;
2804_Screenshot_20250709-140324__R4.png;HW_HERO_0020;jet__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2804_Screenshot_20250709-140324__R4.png;
2804_Screenshot_20250709-140324__R5.png;HW_HERO_0017;guus__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2804_Screenshot_20250709-140324__R5.png;
2805_Screenshot_20250709-125031__L1.png;HW_HERO_0038;orion__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2805_Screenshot_20250709-125031__L1.png;
2805_Screenshot_20250709-125031__L2.png;HW_HERO_0019;ishmael__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2805_Screenshot_20250709-125031__L2.png;
2805_Screenshot_20250709-125031__L3.png;HW_HERO_0035;mojo__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2805_Screenshot_20250709-125031__L3.png;
2805_Screenshot_20250709-125031__L4.png;HW_HERO_0053;ziri__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2805_Screenshot_20250709-125031__L4.png;
2805_Screenshot_20250709-125031__L5.png;HW_HERO_0032;martha__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2805_Screenshot_20250709-125031__L5.png;
2805_Screenshot_20250709-125031__R1.png;HW_HERO_0005;cascade__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2805_Screenshot_20250709-125031__R1.png;
2805_Screenshot_20250709-125031__R2.png;HW_HERO_0021;jhu__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2805_Screenshot_20250709-125031__R2.png;
2805_Screenshot_20250709-125031__R3.png;HW_HERO_0016;ginger__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2805_Screenshot_20250709-125031__R3.png;
2805_Screenshot_20250709-125031__R4.png;HW_HERO_0006;celeste__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2805_Screenshot_20250709-125031__R4.png;
2805_Screenshot_20250709-125031__R5.png;HW_HERO_0032;martha__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2805_Screenshot_20250709-125031__R5.png;
2806_Screenshot_20250709-124954__L1.png;HW_HERO_0021;jhu__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2806_Screenshot_20250709-124954__L1.png;
2806_Screenshot_20250709-124954__L2.png;HW_HERO_0015;galaad__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2806_Screenshot_20250709-124954__L2.png;
2806_Screenshot_20250709-124954__L3.png;HW_HERO_0014;folio__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2806_Screenshot_20250709-124954__L3.png;
2806_Screenshot_20250709-124954__L4.png;HW_HERO_0033;maya__appearance_01;ALREADY_PRESENT;;data/crops/hero/avatars_inner/2806_Screenshot_20250709-124954__L4.png;
