avatar_file;appearance_id;technical_cluster_id;hero_id;ocr_text;ocr_confidence;ocr_status;screenshot_id;side;slot;label_source;reviewed
2803_Screenshot_20250709-140336__L4.png;aidan__appearance_01;39;aidan;Aidan;0.999974623442856;HIGH;2803;L;4;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__L4.png;aidan__appearance_01;39;aidan;Aidan;0.999974623442856;HIGH;2804;L;4;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__R5.png;aidan__appearance_01;39;aidan;Aidan;0.999973770448018;HIGH;2809;R;5;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__L3.png;aidan__appearance_01;39;aidan;Aidan;0.9999771824268544;HIGH;2810;L;3;visual_cluster_and_ocr;0
38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L5.png;aidan__appearance_01;39;aidan;Aidan;0.711967069457001;MEDIUM;38227;L;5;visual_cluster_and_ocr;0
38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L3.png;aidan__appearance_01;39;aidan;Aidan;0.9999760628714502;HIGH;38228;L;3;visual_cluster_and_ocr;0
38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__L5.png;aidan__appearance_01;39;aidan;Aidan;0.711967069457001;MEDIUM;38231;L;5;visual_cluster_and_ocr;0
38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__R5.png;aidan__appearance_01;39;aidan;Aidan;0.9999731840140174;HIGH;38231;R;5;visual_cluster_and_ocr;0
38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__L5.png;aidan__appearance_01;39;aidan;Aidan;0.711967069457001;MEDIUM;38232;L;5;visual_cluster_and_ocr;0
38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__R5.png;aidan__appearance_01;39;aidan;Aidan;0.9999729707652796;HIGH;38232;R;5;visual_cluster_and_ocr;0
38234_Screenshot_20260728_193950_Hero_Wars__L5.png;aidan__appearance_01;39;aidan;Aidan;0.9999660401783836;HIGH;38234;L;5;visual_cluster_and_ocr;0
38235_Screenshot_20260728_193758_Hero_Wars__L5.png;aidan__appearance_01;39;aidan;Aidan;0.9999660401783836;HIGH;38235;L;5;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__L5.png;guus__appearance_01;4;guus;Guus;0.9999657869338989;HIGH;2803;L;5;visual_cluster_and_ocr;0
2803_Screenshot_20250709-140336__R5.png;guus__appearance_01;4;guus;Guus;0.9999259114265442;HIGH;2803;R;5;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__L5.png;guus__appearance_01;4;guus;Guus;0.9998087882995605;HIGH;2804;L;5;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__R5.png;guus__appearance_01;4;guus;Guus;0.9999259114265442;HIGH;2804;R;5;visual_cluster_and_ocr;0
38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L2.png;guus__appearance_01;4;guus;Guus;0.9999343752861023;HIGH;38228;L;2;visual_cluster_and_ocr;0
38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L4.png;guus__appearance_01;4;guus;Guus;0.9978047531254829;HIGH;38230;L;4;visual_cluster_and_ocr;0
38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__R4.png;guus__appearance_01;4;guus;Guus;0.9999361038208008;HIGH;38231;R;4;visual_cluster_and_ocr;0
38234_Screenshot_20260728_193950_Hero_Wars__L3.png;guus__appearance_01;4;guus;Guus;0.9686627028655408;HIGH;38234;L;3;visual_cluster_and_ocr;0
38234_Screenshot_20260728_193950_Hero_Wars__R5.png;guus__appearance_01;4;guus;Guus;0.9998698234558105;HIGH;38234;R;5;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__R1.png;iris__appearance_01;35;iris;Iris;0.9984111189842224;HIGH;2810;R;1;visual_cluster_and_ocr;0
38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L1.png;iris__appearance_01;35;iris;Iris;0.9982748031616211;HIGH;38228;L;1;visual_cluster_and_ocr;0
38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R1.png;iris__appearance_01;35;iris;Iris;0.9993136525154114;HIGH;38228;R;1;visual_cluster_and_ocr;0
38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L1.png;iris__appearance_01;35;iris;Iris;0.9993499517440796;HIGH;38229;L;1;visual_cluster_and_ocr;0
38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R1.png;iris__appearance_01;35;iris;Iris;0.9996836185455322;HIGH;38230;R;1;visual_cluster_and_ocr;0
38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__L3.png;iris__appearance_01;35;iris;Iris;0.9976661205291748;HIGH;38231;L;3;visual_cluster_and_ocr;0
38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__R1.png;iris__appearance_01;35;iris;Iris;0.9996815919876099;HIGH;38232;R;1;visual_cluster_and_ocr;0
38234_Screenshot_20260728_193950_Hero_Wars__R1.png;iris__appearance_01;35;iris;Iris;0.9992671012878418;HIGH;38234;R;1;visual_cluster_and_ocr;0
38235_Screenshot_20260728_193758_Hero_Wars__R1.png;iris__appearance_01;35;iris;Iris;0.9992671012878418;HIGH;38235;R;1;visual_cluster_and_ocr;0
2801_Screenshot_20250708-120939__L2.png;folio__appearance_01;52;folio;Folio;0.9999643341868938;HIGH;2801;L;2;visual_cluster_and_ocr;0
2802_Screenshot_20250708-120933__L4.png;folio__appearance_01;52;folio;Folio;0.9999896574627776;HIGH;2802;L;4;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__L3.png;folio__appearance_01;52;folio;Folio;0.9999827268895325;HIGH;2806;L;3;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__L2.png;folio__appearance_01;52;folio;Folio;0.9999908303284581;HIGH;2807;L;2;visual_cluster_and_ocr;0
38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L1.png;folio__appearance_01;52;folio;Folio;0.9999908836405307;HIGH;38226;L;1;visual_cluster_and_ocr;0
38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R3.png;folio__appearance_01;52;folio;Folio;0.9999765959930895;HIGH;38227;R;3;visual_cluster_and_ocr;0
38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__R2.png;folio__appearance_01;52;folio;Folio;0.999991576697443;HIGH;38231;R;2;visual_cluster_and_ocr;0
38233_Screenshot_20260728_194145_Hero_Wars__L2.png;folio__appearance_01;52;folio;Folio;0.9999872051067392;HIGH;38233;L;2;visual_cluster_and_ocr;0
38233_Screenshot_20260728_194145_Hero_Wars__R1.png;folio__appearance_01;52;folio;Folio;0.9998824995041083;HIGH;38233;R;1;visual_cluster_and_ocr;0
38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L3.png;byrna__appearance_01;19;byrna;Byrna;0.9999815007105989;HIGH;38226;L;3;visual_cluster_and_ocr;0
38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R5.png;byrna__appearance_01;19;byrna;Byrna;0.9999728641409087;HIGH;38226;R;5;visual_cluster_and_ocr;0
38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R3.png;byrna__appearance_01;19;byrna;Byrna;0.999973770448018;HIGH;38228;R;3;visual_cluster_and_ocr;0
38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R4.png;byrna__appearance_01;19;byrna;Byrna;0.9999892842782089;HIGH;38229;R;4;visual_cluster_and_ocr;0
38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L3.png;byrna__appearance_01;19;byrna;Byrna;0.9999817672712517;HIGH;38230;L;3;visual_cluster_and_ocr;0
38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R3.png;byrna__appearance_01;19;byrna;Byrna;0.9999846461257681;HIGH;38230;R;3;visual_cluster_and_ocr;0
38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__L2.png;byrna__appearance_01;19;byrna;Byrna;0.9999906703922384;HIGH;38231;L;2;visual_cluster_and_ocr;0
38235_Screenshot_20260728_193758_Hero_Wars__R4.png;byrna__appearance_01;19;byrna;Byrna;0.9999851792468674;HIGH;38235;R;4;visual_cluster_and_ocr;0
38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R4.png;electra_von_grave__appearance_01;30;electra_von_grave;Electra von Grave;0.7915035160632098;MEDIUM;38226;R;4;visual_cluster_and_ocr;0
38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L5.png;electra_von_grave__appearance_01;30;electra_von_grave;Electra von Grave;0.8234924843298361;MEDIUM;38228;L;5;visual_cluster_and_ocr;0
38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L4.png;electra_von_grave__appearance_01;30;electra_von_grave;Electra von Grave;0.981815378401662;HIGH;38229;L;4;visual_cluster_and_ocr;0
38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R5.png;electra_von_grave__appearance_01;30;electra_von_grave;Electra von Grave;0.7371806456635347;MEDIUM;38229;R;5;visual_cluster_and_ocr;0
38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R2.png;electra_von_grave__appearance_01;30;electra_von_grave;Electra von Grave;0.7418567460049824;MEDIUM;38230;R;2;visual_cluster_and_ocr;0
