appearance_id;technical_cluster_id;display_cluster_number;hero_id;suggested_name;ocr_aliases;avatar_count;sample_files;reviewed;notes
aidan__appearance_01;39;1;aidan;Aidan;Aidan;12;2803_Screenshot_20250709-140336__L4.png | 2804_Screenshot_20250709-140324__L4.png | 2809_Screenshot_20250709-175158__R5.png | 2810_Screenshot_20250709-175224__L3.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L5.png;0;
guus__appearance_01;4;2;guus;Guus;Guus;9;2803_Screenshot_20250709-140336__L5.png | 2803_Screenshot_20250709-140336__R5.png | 2804_Screenshot_20250709-140324__L5.png | 2804_Screenshot_20250709-140324__R5.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L2.png;0;
iris__appearance_01;35;3;iris;Iris;Iris;9;2810_Screenshot_20250709-175224__R1.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L1.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R1.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L1.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R1.png;0;
folio__appearance_01;52;4;folio;Folio;Folio;9;2801_Screenshot_20250708-120939__L2.png | 2802_Screenshot_20250708-120933__L4.png | 2806_Screenshot_20250709-124954__L3.png | 2807_Screenshot_20250709-124710__L2.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L1.png;0;
byrna__appearance_01;19;5;byrna;Byrna;Byrna;8;38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L3.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R5.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R3.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R4.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L3.png;0;
electra_von_grave__appearance_01;30;6;electra_von_grave;Electra von Grave;Electra von Grave;8;38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R4.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L5.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L4.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R5.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R2.png;0;
kayla__appearance_01;37;7;kayla;Kayla;Kayla;8;2803_Screenshot_20250709-140336__L1.png | 2804_Screenshot_20250709-140324__L1.png | 2810_Screenshot_20250709-175224__L5.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R1.png | 38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__R1.png;0;
martha__appearance_01;11;8;martha;Martha;Martha;7;2801_Screenshot_20250708-120939__L5.png | 2802_Screenshot_20250708-120933__L5.png | 2802_Screenshot_20250708-120933__R5.png | 2805_Screenshot_20250709-125031__L5.png | 2805_Screenshot_20250709-125031__R5.png;0;
lian__appearance_01;34;9;lian;Lian;Lian;7;2803_Screenshot_20250709-140336__R2.png | 2809_Screenshot_20250709-175158__R2.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L2.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L3.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R4.png;0;
polaris__appearance_01;43;10;polaris;Polaris;Polaris;7;2803_Screenshot_20250709-140336__R1.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R4.png | 38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__R3.png | 38233_Screenshot_20260728_194145_Hero_Wars__L4.png | 38233_Screenshot_20260728_194145_Hero_Wars__R5.png;0;
